arandela,x_f,y_f,z_f,vx_f,vy_f,vz_f,masa,r_xy,radio_medio,radio_medio_log10,densidad_log10
0,-6.087515667597876,-0.8331255613087809,-9.062207572060242,-25011.786494823165,407.8971585434987,-9839.868804765167,2099.0,274.2532826445492,0.1,-1.0,4.222802574560304
1,-2.6159277186920584,-2.422187091598031,-12.712408914858019,-42492.14871348777,-2059.5962520342246,22640.293303818322,6033.0,1872.0061752947022,0.30000000000000004,-0.5228787452803375,4.204202206574646
2,49.47770573437681,-24.681224275459332,-84.42856539378585,-50152.6995389003,-9228.084537517005,-6421.443527648014,10178.0,5157.590034450354,0.5,-0.3010299956639812,4.209482578179161
3,16.21124060973629,-40.96315581439943,-178.11132570594282,-14899.001482034873,-33188.293526841466,2313.9537850855886,13821.0,9740.291612245712,0.7000000000000001,-0.15490195998574313,4.1962315629359885
4,104.88306316848472,-165.17561375407857,-270.27392290324093,29431.06372083827,-16816.34743417574,-19223.9788684314,16808.0,15176.413815067142,0.9,-0.045757490560675115,4.172063665936475
5,130.325524450178,-81.04240929472033,-219.03040386646828,26401.75778698488,5311.596542583056,490.494160555148,19570.0,21559.88349040768,1.1,0.04139268515822508,4.15098827647768
6,179.13893530663557,74.07888201633894,-229.5631555886025,-2417.921259539873,-8548.162009885744,-31014.902664941736,22021.0,28667.497050828828,1.3000000000000003,0.11394335230683686,4.129683820587492
7,103.19314394029296,-221.33001037468645,-146.21609268434594,66323.3453448385,-39799.135566468474,6538.073747055606,23821.0,35761.354976771814,1.5,0.17609125905568124,4.101658866032289
8,341.6309864765399,95.2877854493815,78.43163093647509,35746.8074848437,-20765.262417139274,-19628.972565526063,25593.0,43546.52940391669,1.7000000000000002,0.23044892137827397,4.078462411275445
9,-113.39356130554208,-169.45075045049455,-183.48618482666484,54308.739620739725,-77004.68917396262,-9557.337305298803,26969.0,51264.157188312034,1.9,0.2787536009528289,4.052901378306533
10,416.4009730717833,-53.295823331004144,-137.75384038258076,45887.91271481401,5625.993974096712,-5730.272163206731,28178.0,59173.67843472052,2.1,0.3222192947339193,4.028481006036195
11,764.8928370211954,517.0848203889544,-13.470849745298269,-872.9040307956003,71187.226138596,487.17773560314185,29695.0,68310.96677923677,2.3000000000000003,0.36172783601759295,4.011745629573351
12,2113.684887704088,-81.48684903152085,-122.68717719774101,32281.8727212384,193072.52602230638,10592.645434401471,30851.0,77141.52656231789,2.5,0.3979400086720376,3.992119373063887
13,755.3502502204024,1067.376222506779,-356.5570438898261,-48300.98528443222,54992.57067379258,-9540.24445921439,31082.0,83933.96530080464,2.7,0.43136376415898736,3.961935327926497
14,70.52176504378828,291.3852483863294,-158.7925927672571,-6644.70143415035,-18047.183414565083,-7798.095273443307,31453.0,91233.55392606297,2.9000000000000004,0.46239799789895614,3.936054213021093
15,-137.19051440105684,457.26069894126977,-333.1036346507507,11975.296394814293,-8341.955154033278,-3853.5998789504447,31848.0,98743.62404005762,3.1,0.4913616938342727,3.912510606719672
16,-625.3559071618497,331.02074595990433,-241.3645949848328,-1836.9922905504445,-28327.524253468517,-18023.14741409262,31591.0,104264.33709452154,3.3000000000000003,0.5185139398778875,3.881839569634419
17,-410.4420314468482,-141.78231527413087,-477.05803760484844,29908.94168309507,-35789.745627499855,-37754.73957093085,31430.0,109994.76967282723,3.5,0.5440680443502757,3.8540664726452087
