arandela,x_f,y_f,z_f,vx_f,vy_f,vz_f,masa,r_xy,radio_medio,radio_medio_log10,densidad_log10
0,100.59599254431343,-540.7696943140234,-207.148168428143,67357.45357039841,-145236.60249775116,56920.466486620084,44271.0,5321.700234444,0.1,-1.0,6.120940735704279
1,242.26069241470094,-1278.651968489318,-152.08118499521134,228208.75127679785,-77536.69396931924,44590.28417281858,62413.0,18723.483752653974,0.30000000000000004,-0.5228787452803375,5.424998421967368
2,321.6227597181281,-1405.9148004303954,-494.44844993087037,162885.32372832688,-135394.40653997633,-28991.66417423359,57781.0,28765.183507824084,0.5,-0.3010299956639812,4.957852856542103
3,352.76899923626655,-1428.1524348210608,-436.9994261939233,142185.42860071105,-99068.85226812134,-7115.176945866491,48649.0,33912.865304148894,0.7000000000000001,-0.15490195998574313,4.5936935972348705
4,200.61282332257377,-1490.4198257429075,-487.05965455197537,92098.1059056444,-55627.88917756508,8623.396306303803,40161.0,36012.63651903189,0.9,-0.045757490560675115,4.293296086802808
5,303.73946001298475,-1376.3315837718385,-423.41897919478583,86668.3094457287,-61952.45957169866,20317.40443870697,33122.0,36339.51543629675,1.1,0.04139268515822508,4.035896564217762
6,532.9229663129361,-697.9419779577846,-495.6362519190621,53157.18586538493,-40869.470882659916,23719.772532763585,27937.0,36244.0420939423,1.3000000000000003,0.11394335230683686,3.817197450547946
7,-204.63870584202712,-865.0007377963568,-405.90265135167226,39451.635832071035,-52981.21549903512,-208.11115442305905,23457.0,35128.412152627716,1.5,0.17609125905568124,3.617207166941477
8,-405.96732093164195,-579.2508762806863,88.60192280334483,25084.709047682813,-37595.343431796304,-287.8756374596717,19695.0,33425.700713069025,1.7000000000000002,0.23044892137827397,3.4327176550022536
9,-37.31004221009812,-646.2255279115532,-115.62996201189307,10579.047071390476,-14080.685102714595,4584.289058138549,17265.0,32757.013253710044,1.9,0.2787536009528289,3.2790186955166902
10,-23.131891313041518,-544.5621244356571,-601.5903306930308,46620.45947230283,-18675.884157593104,9131.555226499622,14908.0,31273.940104211582,2.1,0.3222192947339193,3.1284127940117052
11,92.94599619079682,-401.0795319616808,-710.0683690629751,33094.12353791362,-15586.857863065346,-6332.421721818021,13353.0,30695.1747689838,2.3000000000000003,0.36172783601759295,3.001609745944692
12,-45.837139712835324,-804.4711191537397,-554.0377647835223,21407.829123417076,-8541.71545733163,-26658.301065224237,11856.0,29597.857274981714,2.5,0.3979400086720376,2.877586751625793
13,103.24009846367564,-492.50883003670623,2.722806079605042,33217.161391168156,-17737.511728725836,-10347.821966732132,10301.0,27794.527643171685,2.7,0.43136376415898736,2.7497134645434813
14,-325.4427437488969,-281.4399105910864,618.8316708650825,24453.786287622934,-23022.89402913003,-8273.50325298878,9432.0,27338.76713655264,2.9000000000000004,0.46239799789895614,2.6493958365485213
15,36.25296827704661,3.251395377184892,-14.712749599153547,564.0802303625258,2963.215051878004,-27415.945364759442,8395.0,26006.660531996808,3.1,0.4913616938342727,2.5409068394602605
16,-200.0870715438688,-257.19703305708794,-469.98916414016935,10507.284573298572,-13277.592006533549,-5449.782138028651,7703.0,25408.778167659966,3.3000000000000003,0.5185139398778875,2.4492592450344097
17,-255.9466222620771,-70.13462548955407,-458.84247469247873,9481.642285856802,7229.89034444004,-20438.841144693968,6971.0,24377.098897743857,3.5,0.5440680443502757,2.3548009750560186
18,270.7334622447815,-224.58075194723628,79.52841047690886,13280.682119564712,1599.9677038075845,10385.690126424039,6178.0,22848.348086197897,3.7,0.568201724066995,2.254098864073776
19,413.4042557668726,-47.09619067650648,-148.8144716379293,15233.559174126192,-1119.412098854846,-17086.015347975386,5714.0,22280.645658299854,3.9000000000000004,0.5910646070264992,2.174475995334133
20,274.6756713384436,-258.47656674321604,186.41273055224292,1003.339668326387,-12088.208684158792,-26442.952665801193,5249.0,21518.573007095758,4.1,0.6127838567197355,2.094182889900681
21,352.942137053947,-23.78488877930843,-155.80988350455902,16928.86527253973,15064.38071651977,-13663.657214843079,4915.0,21120.824935860837,4.300000000000001,0.6334684555795866,2.0242684648004916
22,316.30087402136115,127.91103384520535,-128.59505747623834,10182.651583191195,-3153.7410905988904,-10921.521037374947,4428.0,19925.00945288407,4.5,0.6532125137753437,1.9394712420495215
23,178.37009873121553,144.5153936219136,-450.8307409207297,-3957.5510348512416,-4508.16926264669,-4994.334403643539,4133.0,19419.643779875078,4.700000000000001,0.6720978579357175,1.8717643005679931
24,-154.3312398530839,51.7366938261129,413.0245593864008,12628.030530483482,-5415.261392925341,1046.9944900932367,3835.0,18783.84524985091,4.9,0.6901960800285137,1.8030730591710908
25,-341.46392069943283,-475.11376194220065,-334.5908495915836,16393.415333788256,-12786.431082826533,-6581.028292568789,3594.0,18327.458761224912,5.1,0.7075701760979364,1.7401422070840595
26,580.5201523565486,-258.2220409889548,-124.85973377246539,9544.623215194048,-437.25888421695754,-1189.990285857937,3401.0,18022.485129729077,5.300000000000001,0.7242758696007892,1.682763500030244
27,201.39422847510767,-217.04505017277447,-273.9217901811305,552.7186997915617,-8531.82086268976,-11071.728982644263,3204.0,17618.92528840865,5.5,0.7403626894942439,1.6246794152328863
28,285.3773737720694,68.55542659571293,-239.55695954979595,4052.533866452535,-747.5103463756012,1436.265370394039,2935.0,16725.79854601623,5.700000000000001,0.7558748556724915,1.5555739801045307
29,-379.8606814840032,-376.0870478828792,-3.687811899759074,12079.279095461075,-1656.299568277495,-5088.0177028164735,2694.0,15892.72147261246,5.9,0.7708520116421442,1.4884121232696468
30,210.81745330680522,-369.18019142305184,-409.098936061151,6213.893622982294,-7884.254938180982,-2098.5134155269793,2634.0,16070.410945613916,6.1,0.785329835010767,1.449677337842756
31,-208.9033863718987,-246.35509450972398,-123.13503370064139,4477.202836656697,-1115.9784510716154,5223.251401085673,2448.0,15419.476074728625,6.300000000000001,0.7993405494535818,1.389853982532421
32,280.32790012879263,-260.9660159735247,-25.005533226431886,9120.525486841028,-5274.739960230133,-9239.73272172491,2332.0,15151.327310501614,6.5,0.8129133566428556,1.341627710602298
33,170.4897968793598,-235.99557291587004,-393.16892552027304,932.5568770804795,-6687.912427869678,-6569.075193835428,2158.0,14454.606929135205,6.700000000000001,0.8260748027008264,1.2816297276644262
34,-184.60205514939585,-12.85651113152138,-358.77486150273114,2048.294322774267,8405.41840642162,6230.016746953903,2076.0,14326.724413908083,6.9,0.8388490907372553,1.239258902689262
35,460.5267723622124,198.95258289889568,-213.88868052576663,2313.490670131257,1918.100594885633,1051.1421976552474,1970.0,13988.68095495136,7.1,0.8512583487190752,1.1916809525046792
36,58.159239058230895,161.50322735481964,-454.31915264312914,2840.0184141009663,-2640.819714913722,4400.71393891809,1864.0,13604.295060454002,7.300000000000001,0.8633228601204559,1.1435331634634802
37,183.87435870418392,11.412303716205578,-1.679787032138845,4986.189578031722,-8926.913406457334,-788.6097709170132,1798.0,13481.851074897044,7.5,0.8750612633917001,1.1044015657209507
38,-383.45777112119583,376.23253932691443,388.11342557820865,7721.5152918387585,6453.835487637595,3964.7327241852086,1757.0,13527.715627343134,7.700000000000001,0.886490725172482,1.0715260357519827
39,-85.33527580727265,320.2047973004661,76.11758327671286,3816.238778799175,-4143.466676486029,1258.2942320940715,1609.0,12709.580790601922,7.9,0.8976270912904415,1.0110388066772116
40,74.98526741735763,-181.0290266820486,30.456126120208612,-2006.610951244714,6869.783657134438,7608.971440546215,1586.0,12843.805858934162,8.100000000000001,0.9084850188786499,0.9830712216531251
41,31.656987231783454,389.6479899930977,-315.0133100119149,-3309.6092037889634,-8816.85856220171,11795.794130514792,1489.0,12359.42560624863,8.3,0.919078092376074,0.9344776399121382
42,-264.4656054645001,75.02687439873472,351.84127447295737,4038.6457694549413,6702.785280414148,-358.11720201391717,1377.0,11702.608371755186,8.5,0.9294189257142927,0.8798361929501568
43,317.6547062933485,249.78669750342456,113.1966000082189,-505.0277366691422,7175.626953279778,-1009.977393731257,1349.0,11737.660031023832,8.7,0.9395192526186185,0.8507144591521113
44,168.72525141245285,-284.1160710569204,381.43924914224027,1672.8236612644225,568.5460865198726,-3282.788468109594,1309.0,11644.705212721683,8.9,0.9493900066449128,0.8179014978796934
45,174.64639099207392,183.60692189751524,98.56602618187283,717.5826106194116,3897.076322496728,-2647.188202210307,1252.0,11393.956757621889,9.100000000000001,0.9590413923210936,0.7792642033344809
46,472.94826998565173,-411.44191800163975,296.8843551450154,11784.891674770495,-6782.580746963798,-7968.013846844799,1232.0,11455.922256620765,9.3,0.9684829485539351,0.7533882136038039
47,-227.94728670877515,235.22725259136922,471.5558500650695,-297.91512185423585,2228.961539146704,-7241.895303492935,1157.0,10989.894268717371,9.5,0.9777236052888477,0.7076302485601106
48,-47.13557604596172,-346.17226552182143,529.6855852635421,-515.1924900052493,-3523.121347418675,-9807.893635447059,1097.0,10639.668151824415,9.700000000000001,0.9867717342662449,0.6664079138462016
49,-7.399797313100381,63.46477415565883,443.25946554658367,928.2278478076447,-3696.622583482609,6157.025992567203,1104.0,10928.703331462908,9.9,0.9956351945975499,0.6514440543492027
50,192.49056647402458,-114.42832169702142,-240.23799646571337,6221.426309053335,5383.251462698769,5647.009431641598,1063.0,10733.234317481027,10.100000000000001,1.0043213737826426,0.6176364662649576
51,-24.763209216535344,53.08299005973773,303.12851325770066,2841.298649668235,6810.974027159933,-1747.4591453238875,965.0,9940.331362451632,10.3,1.0128372247051722,0.5585993589883376
52,520.8366153969376,54.24820645876119,261.193051646749,3541.507627363627,-5335.497209069654,3894.181491874836,962.0,10100.772408903984,10.5,1.021189299069938,0.5405434838137688
53,-374.00095598266273,-62.90382332750022,-242.69060242263586,3333.5105316389922,4656.900616001538,-396.72933098316025,904.0,9673.85089717811,10.700000000000001,1.0293837776852097,0.49714837128226674
54,79.93681654722464,136.95718857553405,330.2506114717256,1400.5846450764736,3041.6060383234253,301.0880386083048,896.0,9768.90748395862,10.9,1.0374264979406236,0.47720296969983694
55,179.69338008330885,29.557685873281493,336.05268559752324,1401.74785984967,-2588.244134400696,-3096.776849304969,879.0,9757.70104998378,11.100000000000001,1.0453229787866576,0.4530913085351717
56,-252.05237945845377,-99.4511810093998,429.19677753201034,-7351.769903678601,-95.977577046431,8888.594035302354,818.0,9245.989815760515,11.3,1.0530784434834197,0.4063452199569462
57,-148.98704472307753,-57.58559165632499,-5.5582870520483905,-2923.541147269879,4307.353120998846,4923.8522704786465,832.0,9567.705355457992,11.5,1.0606978403536116,0.39847683973462644
58,187.59358524072567,122.50038750558296,-880.6930261270942,-706.2349935859313,1526.4238635919291,-5878.423733162144,739.0,8646.0475935263,11.700000000000001,1.0681858617461617,0.33202228007837503
59,-211.63980230627874,-590.8038020229678,339.27375484438136,4457.81742601062,-3826.8637877190654,4794.549001801188,780.0,9282.941824510688,11.9,1.0755469613925308,0.3407505975568528
60,381.3566891198624,-171.57619135422848,50.025182956520126,3525.3326295633087,-32.37293234332736,-1353.3777036927713,731.0,8844.110166826371,12.100000000000001,1.08278537031645,0.2980968891189446
61,-295.53561043569584,103.25084607963836,362.8660989959276,1747.2669371942832,-2774.386948221666,334.06891709828903,714.0,8781.856031093204,12.3,1.089905111439398,0.273638560619026
62,-22.959870514341468,-113.4485863895271,406.9899722289966,2745.614659252969,-338.77639212275807,2523.1777801454678,676.0,8448.450881609047,12.5,1.0969100130080565,0.2358775453893213
63,79.8781532178226,149.73833276031357,-191.26199872448944,1029.325584210335,-1181.6804603526525,-1936.5551348551814,663.0,8418.51583502022,12.700000000000001,1.1038037209559568,0.21365725146228431
64,-42.67085738671045,354.0009057590756,-45.12918915984986,3309.0300365270004,-2606.1427010192033,4829.991956031714,635.0,8190.848031233367,12.9,1.110589710299249,0.1813457458079891
65,-416.54494514735865,22.634429128111258,281.44919566697854,5713.254840010457,2081.9105657842,6036.995202813816,617.0,8081.77160299322,13.100000000000001,1.1172712956557642,0.15549427743040148
66,-281.27475362552343,419.2483094633442,95.12155475695086,3639.3872012414763,3261.633992820463,-625.9839388009495,614.0,8166.76067789158,13.3,1.1238516409670858,0.14021704570819318
67,9.850057978455087,-110.3775615474912,220.90322630576452,1559.533192372406,-1280.2536871712457,-4534.153822743155,624.0,8424.809410938726,13.5,1.130333768495006,0.13426924987857175
68,-557.4165004183266,15.144420415402523,270.5017479482751,4123.176263476776,-2410.962428154189,2558.3414182403662,553.0,7574.763351304439,13.700000000000001,1.136720567156407,0.06903642439932219
69,3.340097419443083,81.29298147281509,19.74006556408216,-3686.7567250681673,-1751.9499673643127,-76.49542018884635,540.0,7504.233759801477,13.9,1.1430148002540952,0.046116807077668104
70,-267.80065861348015,20.26307801766191,-384.05159900536853,-2243.8127437811722,-5407.978095736801,-608.7336377941846,550.0,7754.805981851549,14.100000000000001,1.14921911265538,0.04167732299176037
71,213.46757139249814,-103.81791093674128,-552.9636239802143,2137.485254572258,1787.1795883025407,3100.83256103285,513.0,7335.421730725837,14.3,1.1553360374650619,-0.0008016487575229183
72,63.284691109948795,94.52559001507008,500.2956307232567,3521.8987391082655,-674.6151684625942,8684.56120683511,523.0,7582.6815075396225,14.5,1.1613680022349748,-0.004481060600514594
73,-87.15954273812085,-464.20971219422466,-290.03977690409255,-564.8102393406142,-116.93337354298194,861.8943025258693,492.0,7230.756068356805,14.700000000000001,1.1673173347481762,-0.04291612564736735
74,30.139887809411867,-56.08972717334773,-675.4043960398693,650.0099604158353,4314.3866384467765,642.2282383625595,522.0,7779.369442672784,14.9,1.173186268412274,-0.028948414103855034
75,1.0588088031459968,-31.540552540163556,145.9092212700988,350.5990916777881,1810.7435969666296,-2259.200654783647,497.0,7502.32390413852,15.100000000000001,1.1789769472931695,-0.06184371454874167
76,509.24445664516793,449.60537885375044,-218.37307951415715,-2.980611016120264,-3321.6408083482647,619.9937615546428,488.0,7465.987223473073,15.3,1.1846914308175989,-0.08120908342709368
77,-159.6049463931859,-187.0389356748044,165.40915314531372,2351.0957810348013,-3797.2324048515297,-1201.9775638924193,452.0,7005.087452623202,15.5,1.1903316981702914,-0.12577084676462744
78,-149.17872561370058,28.126497526714367,341.65303946736714,-2089.961468600342,-3730.4457886575487,394.92522178732537,457.0,7175.557835943876,15.700000000000001,1.1958996524092338,-0.13212883744570586
79,236.40024184442296,64.60658141188401,314.1519538056389,-2142.6251812014366,1082.911241188006,7045.030091346551,456.0,7251.412164821088,15.9,1.2013971243204515,-0.14407499185505804
80,292.24948788044065,222.98638953846495,-93.9636767514387,-158.48041863209318,698.5968343428661,3716.8415031366217,421.0,6777.251984621389,16.1,1.2068258760318498,-0.1896151007255144
81,-90.64298555765959,278.21128136546463,-92.51949925769162,2659.7627798607227,-1754.899602885057,948.6656725498879,410.0,6683.151868698124,16.3,1.212187604403958,-0.21183666037673962
82,110.64507091118975,38.82908863389612,555.6862932756119,2032.5387351095756,-220.59113483936784,-1175.8069354233087,390.0,6434.2230900905015,16.5,1.2174839442139063,-0.24414845840386723
83,238.7697456246543,-267.3390377751401,151.1195844987547,-232.85695791481714,1239.8045150763066,183.5195100545351,383.0,6396.345576631382,16.700000000000003,1.2227164711475833,-0.2624792187316192
84,-42.28837233855066,130.3246675964916,418.22656607868464,-850.5466491985516,-566.5233901483718,-1485.252185797541,339.0,5729.5000781080835,16.9,1.2278867046136734,-0.32581863929976496
85,-51.179844895876855,288.0317226125383,417.9248600326582,2596.4496779364354,-2176.44113067121,1565.0149638207704,380.0,6498.754101801333,17.1,1.2329961103921538,-0.2864534345735277
86,57.07694506480783,440.81544296484486,49.963793218438965,3229.341443838823,-285.7994563103394,686.5454665999521,371.0,6418.2212737547325,17.3,1.2380461031287955,-0.30696299324336557
87,-144.12999894551473,192.61247567938236,-184.80947408206654,810.8916526196684,789.9832729504058,4218.108810715416,380.0,6649.918290691033,17.5,1.2430380486862944,-0.3065370874308989
88,-371.182953367615,-100.1359599328971,-145.93742998452973,3848.0663431691382,2647.4080990936563,4144.66272606857,364.0,6442.292474382905,17.700000000000003,1.2479732663618066,-0.3350896295291585
89,-187.23499280388145,84.56456491116481,610.5551858935144,4612.911019199335,-2341.101086670842,461.04895400041,341.0,6103.311285165272,17.9,1.252853030979893,-0.3731960607418857
90,-211.0210001844283,-34.347849545514045,318.39422655556655,3264.3165289790286,414.22699027225525,588.2462270526189,325.0,5884.076822549016,18.1,1.2576785748691846,-0.4037180672389784
91,276.83833158840514,41.084863929162196,-465.14537839293257,-838.3650787604429,1896.4025755366986,-831.4983628077713,350.0,6406.0832867487825,18.3,1.2624510897304295,-0.3810783175326941
92,458.7928679986219,-603.3542786337052,-319.668902773965,-2583.5214233569,1503.1475658710779,3446.559909989979,319.0,5901.915365170308,18.5,1.2671717284030137,-0.43079686321205546
93,-17.104070117859315,70.40618784855856,-567.4212246079875,-720.7366637557814,-2895.9100843657498,-99.4451388225886,320.0,5984.358205062083,18.700000000000003,1.271841606536499,-0.4387772342240433
94,-134.2057390112416,106.19648656821992,-276.46013408355975,3165.9498728453827,-1394.4749946598931,1924.735746300938,298.0,5631.532288044614,18.9,1.276461804173244,-0.4789512565906664
95,-140.0913278103776,419.58954099367105,-106.39063465135287,1593.3213766136057,-2839.299994908977,1079.076069828708,288.0,5501.338965088231,19.1,1.2810333672477277,-0.5029180746294832
96,-32.7383647503243,-24.101462868222207,360.8237785914026,2113.8577652828335,-158.22186842138868,-2335.2332251516605,304.0,5866.075723392043,19.300000000000004,1.2855573090077739,-0.48848478048390215
97,-41.58140923870056,-0.0061416675855490155,-457.07244148538274,3501.419780920888,-722.6346541713331,2293.198988012773,275.0,5363.293089731646,19.5,1.290034611362518,-0.5409801956602124
98,189.82022853977952,-138.06478131755824,-179.80864816296898,-1243.5784272220299,-1776.2765153033251,-1304.0485576954734,287.0,5653.124724523501,19.700000000000003,1.294466226161593,-0.53129414544625
99,284.75369450619877,88.08510835377024,-17.243610384835968,2039.0556808601175,432.62789030119563,-2932.7193755945864,302.0,6009.533946113202,19.9,1.2988530764097066,-0.517942725118098
100,110.30667165375847,-373.71169457508216,65.39856223697575,-904.0452954386461,-756.5268321750459,-100.59502999207243,270.0,5427.581014585883,20.1,1.3031960574204888,-0.5752717935524031
101,-195.53211669051385,162.30551502292306,431.397256445852,542.089623703029,912.5877400893239,-848.8760310819922,272.0,5520.436134833079,20.300000000000004,1.307496037913213,-0.580666544406106
102,-64.13558872690841,-387.5170500688322,-586.4858319603381,4109.966525429757,-1888.716134334922,-2552.8792347278336,247.0,5064.330813142975,20.5,1.3117538610557542,-0.6310540732554262
103,339.3574825616751,179.0614991246094,-524.7097608205327,-55.595076771934856,1658.4954737717019,-1407.6718730249147,261.0,5402.749472293792,20.700000000000003,1.3159703454569178,-0.6155434217363702
104,-415.6671204029566,-184.01878777434953,42.33173626900339,704.4201992445719,-5417.646945085109,-1050.4627694073768,248.0,5184.007187126728,20.9,1.320146286111054,-0.6460840652065296
105,190.3216063334353,-198.13792153104094,-93.4069081921151,1295.735901812709,-193.7475024926999,1783.29849857715,273.0,5759.709019377402,21.1,1.3242824552976926,-0.6126453748362611
106,-388.28706699375937,-74.82729910881183,157.49787494123908,2487.5995779990344,1276.1932137702786,224.46091985867994,243.0,5177.239041299186,21.300000000000004,1.3283796034387378,-0.6713959837848618
