arandela,x_f,y_f,z_f,vx_f,vy_f,vz_f,masa,r_xy,radio_medio,radio_medio_log10,densidad_log10
0,-0.47391061946047697,-3.0256891785841415,173.0577729034433,552.2417051844764,-5854.601482682132,3830.4684916044966,794.0,106.07845998907925,0.1,-1.0,4.374641906132719
1,-11.473156806796453,2.527362556841041,523.967832459478,2880.2252552970413,619.0988038676769,565.2794591777922,2255.0,693.7902524563269,0.30000000000000004,-0.5228787452803375,3.9828699099053453
2,25.33450954356762,16.869035980197435,3.7931654908615933,-19026.844423951712,-11477.68020913658,6851.80976664251,3318.0,1673.5803839504256,0.5,-0.3010299956639812,3.7169441844411355
3,30.08135479433714,-7.805201565014283,405.8499427168961,-9799.071913276506,-20.8081450147612,-6262.638558433027,4238.0,2976.9471657331346,0.7000000000000001,-0.15490195998574313,3.5337806320134035
4,-32.07132708434089,-6.570486971977267,302.43257735174836,44479.31582136963,-18221.120485572304,-16438.98533008387,4867.0,4385.663295570808,0.9,-0.045757490560675115,3.376752914938362
5,-9.49773106424901,16.1234947419218,168.8825590831895,-11965.400446488416,-27252.188666704667,-12342.53585938996,5651.0,6227.8474582103745,1.1,0.04139268515822508,3.267905318682427
6,-39.45269033984617,-93.3739632322036,389.12692762558055,27167.091684472252,-31997.458695819867,-32434.628060789742,6116.0,7965.65481746574,1.3000000000000003,0.11394335230683686,3.1574851594899482
7,-39.763158736273574,28.125337099525638,-930.677404700364,6969.690802655108,-17094.22427385375,-1877.8371159071771,6694.0,10047.692220176441,1.5,0.17609125905568124,3.0726204071137073
8,-52.76113375428196,-253.89408197744245,822.5696455998843,8312.55045237383,-9936.804995017992,18652.461767819063,6973.0,11850.015054721116,1.7000000000000002,0.23044892137827397,2.9817813350620113
9,-101.53352636694603,-138.56403272190772,-671.9150940535897,-6286.515008271691,-42947.4617046961,-12383.567265185551,7509.0,14268.923994882965,1.9,0.2787536009528289,2.917434217159103
10,96.45565799830037,-159.15582597375032,-877.9105314154122,43737.10240674677,2132.360350622867,7693.077717979905,7592.0,15949.26235144252,2.1,0.3222192947339193,2.8353496093491395
11,261.5767181231464,-79.36992850564802,-729.5484365308107,41964.26431800673,-21865.97668237552,6577.170552552732,7880.0,18137.21018397103,2.3000000000000003,0.36172783601759295,2.7725571144320624
12,-151.49924427202268,185.86104853732724,-503.346401833634,-13070.352978352963,-29362.525569264904,25978.080508978997,8306.0,20764.68896110778,2.5,0.3979400086720376,2.7230404877643997
13,44.48722912324163,33.93935267264815,1374.613580464628,16010.03064748357,20013.375930921036,-2228.486086899746,8475.0,22881.129261186044,2.7,0.43136376415898736,2.6649737842473114
14,164.3765723619328,-296.4095696765389,-101.47256604085169,27546.831655583075,-5978.863610352049,-28671.557369386952,8739.0,25344.572542002552,2.9000000000000004,0.46239799789895614,2.6162537838088187
15,-220.52696066557755,36.91775751689071,3115.0592301670645,17332.731275893097,-26516.112917444,16780.57394266076,8601.0,26666.15396593467,3.1,0.4913616938342727,2.55143508665234
16,-96.93432700773548,-13.014091172561495,-1199.7429660014802,-13084.00086714068,-7042.868052106425,-20135.69681364157,8973.0,29616.036761373583,3.3000000000000003,0.5185139398778875,2.515537014924188
17,-282.1529250512937,-233.42175394963832,-1003.5587505181813,4540.612804489484,17569.713252354944,5384.755192499191,9035.0,31625.405419698545,3.5,0.5440680443502757,2.4674340492164624
18,101.83629959653955,445.5055613356554,-986.1333604524187,12305.069995317566,-19585.654358735686,7914.224930151807,9277.0,34321.29277681235,3.7,0.568201724066995,2.430658516705817
19,182.9080015141127,-368.6521380412385,880.367357011802,34392.75464153466,-9411.402535660174,22088.550401599772,9255.0,36097.94047845027,3.9000000000000004,0.5910646070264992,2.3839121823763314
20,171.46438081759422,-126.1943750689005,200.80813955169492,30049.987895360002,-13671.898809861505,-5759.412733281232,9539.0,39113.71032513792,4.1,0.6127838567197355,2.353609165919942
21,-427.60400006623775,-65.79709830335237,-1785.29281425006,24916.55567092446,-28292.593261587575,-24506.827242806376,9489.0,40792.702976115535,4.300000000000001,0.6334684555795866,2.3099653892677225
22,-4.527712658710949,245.09002758275275,-2576.678621585439,-7147.0212532597325,18534.910184727698,30177.790928785744,9417.0,42369.523900492044,4.5,0.6532125137753437,2.2671762002625413
23,565.043006434605,-10.659988124424352,-917.8837025571461,19802.621320943883,-4340.948474763282,4523.5694032176725,9459.0,44450.84398170991,4.700000000000001,0.6720978579357175,2.2313441207538522
24,-121.65503261879986,400.52017343209934,599.5943910616604,1624.2213458417211,-29191.702764969883,7500.418118888295,9631.0,47192.98986791896,4.9,0.6901960800285137,2.2029790737462878
25,308.041741963014,-2.721963553958113,425.0106838329189,18858.50867233083,6795.0568725691355,1275.3424093647618,9597.0,48951.85731387752,5.1,0.7075701760979364,2.166699629114874
26,-421.6655660321329,70.8004051866796,-1330.6134973315995,26980.49763392351,-6979.628189933452,-16828.14295869626,9542.0,50561.24567209261,5.300000000000001,0.7242758696007892,2.1307962803204292
27,-290.73755518050694,320.05730079116455,-855.7644738385035,35209.208151791914,-11130.289280900623,-18472.320442219898,9607.0,52841.99572524308,5.5,0.7403626894942439,2.1015746985223487
28,-293.79737220778674,-37.34974087185891,-285.1258770000341,17486.2628368177,-6365.9991850926845,-12865.828880959081,9346.0,53269.83461393905,5.700000000000001,0.7558748556724915,2.058591651209192
29,-18.45814032164449,-275.72723672994147,596.0612923249801,3611.6901747501593,-13131.550434249306,-7390.24895370421,9611.0,56701.367356917675,5.9,0.7708520116421442,2.0407831091336917
30,-3.47085199995336,618.0361734511142,349.6502626759898,32583.501796737735,-2331.2608622660964,4339.74229011643,9470.0,57750.091752094784,6.1,0.785329835010767,2.005411546220264
31,-118.74259279693372,-60.586019700787695,853.7966988648108,39016.64934915253,8412.758117447094,-7376.980028788535,9469.0,59650.06099578457,6.300000000000001,0.7993405494535818,1.9773466856109
32,-508.7839393661519,62.11515043569871,-1346.6175012702142,14288.404809711623,-12122.287476498446,16392.339551238205,9500.0,61750.914902635755,6.5,0.8129133566428556,1.9516227698041693
33,218.10643227666588,685.4917683546945,1310.5209386044207,18699.519734982663,24897.027787733245,-3459.774098705228,9445.0,63277.8241734542,6.700000000000001,0.8260748027008264,1.9227802495753867
34,-222.8867321989906,305.141415065739,-1034.0278340137572,48580.09524569873,-16166.680260267245,8902.8642818269,9434.0,65100.143252478876,6.9,0.8388490907372553,1.8967274254225248
35,496.84930302484736,-311.4910367719783,147.5400428860464,-12105.715149899768,-6251.239337551024,5961.654439307671,9363.0,66459.8490039516,7.1,0.8512583487190752,1.8686297497280815
36,1180.1005049454059,169.49719338157976,-957.6661270631906,27038.28870561137,-713.7979400146822,-16753.19385896092,9386.0,68511.6033397705,7.300000000000001,0.8633228601204559,1.8455678053219937
37,431.8043710778348,712.5710390321403,873.55165883766,-6584.897369091922,-22332.55225884264,-15150.44108571863,9168.0,68751.25673181828,7.5,0.8750612633917001,1.8118864829470556
38,135.968797785099,104.25489560822321,1649.306671197859,26907.50042447241,-14394.978755430791,17011.004268171982,9203.0,70865.77730907626,7.700000000000001,0.886490725172482,1.7906836962832462
39,620.2765581527815,-826.1472573171008,-940.3655686089434,15585.771377440344,-13134.11853478992,-6325.235754628,9256.0,73123.84040644119,7.9,0.8976270912904415,1.7709061085218754
40,389.38767330798396,567.4075237618528,2381.0972237201663,6045.082552180842,-18199.547300597573,-7143.363490645631,9232.0,74783.25156486667,8.100000000000001,0.9084850188786499,1.7480638344831962
41,-761.5936358343483,785.0654441773115,496.86187449187895,-28175.365701315626,-10113.773110687755,530.8324716292994,9142.0,75874.41812989772,8.3,0.919078092376074,1.7226241591132738
42,1293.9858202491869,-92.57646437107839,533.6173470736271,-12357.747969866125,19878.018480168666,-14009.243779271215,9149.0,77771.66325984581,8.5,0.9294189257142927,1.7022758802880342
43,-1076.161161832981,757.8730281505487,2614.461537677346,-4992.623904602802,-10060.836629073096,-18654.64599402273,8956.0,77913.50659187857,8.7,0.9395192526186185,1.6728165943871998
44,-1150.6256428345619,-422.6946540198337,-924.4292135088294,10215.318288435072,-14740.024449503879,-12873.242848132139,9015.0,80226.86795966553,8.9,0.9493900066449128,1.6559275823873583
45,-859.4129369427073,298.3092399345784,-2536.037875616078,25302.955879318033,-3299.764857330153,11143.112444922654,9030.0,82165.40141964331,9.100000000000001,0.9590413923210936,1.6373476247735759
46,91.37446709406748,-357.58024619864585,918.7205549839375,19611.7174600431,-31067.979368248416,-6700.958070117693,8666.0,80587.688063197,9.3,0.9684829485539351,1.6005961904737533
47,-1329.8407518250099,-812.8202442622555,-2136.7481363981015,24980.474857514415,-16162.460378586931,4727.715224576243,8560.0,81321.30767558057,9.5,0.9777236052888477,1.5767706542855142
48,-1032.3842906788348,-871.7387567590584,-139.21909315138507,11803.332264778612,93.70202590050906,7206.301832410059,8716.0,84540.93722360379,9.700000000000001,0.9867717342662449,1.5665185078457085
49,-508.1409430546955,647.6643234992404,-1700.4802112750526,9573.35121937495,-9871.36128102855,-4057.9292251607235,8672.0,85845.96612960733,9.9,0.9956351945975499,1.5465942501503342
50,79.54967471940232,270.7216487330632,-932.4959107005785,18912.045966269434,-7953.589458823962,-6770.866160500596,8561.0,86464.29160710036,10.100000000000001,1.0043213737826426,1.523627698792203
51,377.3432261849739,-245.22758319889994,-642.3519288572112,19465.345156497122,-4527.707837134776,2206.796592039943,8708.0,89695.38922602564,10.3,1.0128372247051722,1.5139904660136017
52,-37.6886800006412,1350.3134706866028,1000.6133672535348,18176.154784853545,-10863.225581860774,12848.26122089083,8494.0,89183.75493740094,10.5,1.021189299069938,1.4864806684306164
53,546.9074897992067,1647.1249572833347,-2623.1312640892697,3973.4324513392507,-10963.628473107383,-9479.978650065459,8556.0,91543.55902039561,10.700000000000001,1.0293837776852097,1.4732507167063937
54,803.6384389619443,-1474.1154224957108,-3785.838476506232,13968.579432056911,-12409.36872537244,-19350.96822913504,8522.0,92890.62345372667,10.9,1.0374264979406236,1.4554364899021461
55,219.949925647917,1213.15989800034,2413.401701942556,1138.495532438448,-16885.075339478393,25517.060597886364,8326.0,92426.4950306627,11.100000000000001,1.0453229787866576,1.4295388400121585
56,131.03260858552522,13.351933673878863,2573.3906385164332,5654.379238514576,-7155.517458641498,-2777.4399360034527,8310.0,93888.35509264778,11.3,1.0530784434834197,1.4131929400697343
57,428.3518016974665,1241.6278708358375,-1042.0138935923123,18806.693011958152,-11790.169635383996,-10298.47739981246,8222.0,94548.96562236673,11.5,1.0606978403536116,1.3933309858882335
58,818.7422001343991,-463.58070041251574,2719.2670400450584,19347.802517867338,-14587.889312009516,7095.7424688120045,8194.0,95872.94759543122,11.700000000000001,1.0681858617461617,1.3768738013006727
59,606.299974810107,314.2802269169109,1451.381975789359,18616.21265715228,-5484.224901306069,50.0847732337927,8204.0,97619.64024201866,11.9,1.0755469613925308,1.362681646562701
60,-546.2068772950287,-241.1584929403498,-673.0810515187206,13762.153097634462,-12894.035033726052,3474.9484065275074,8051.0,97423.23960039522,12.100000000000001,1.08278537031645,1.3400293388034028
